Search_Genus,Search_Species_Epithet,Search_Name,Accepted_Name,Systematic_Order,Family,Subfamily,Genus,Name,Species_Epithet,Author_Year,Author,Year,Full_Name,Aggregate,Synonym_Search_Name,Synonym_Source,Species_Search_Name,usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family
Pieris,bryoniae,Pieris bryoniae,Pieris bryoniae,99,Pieridae,Pierinae,Pieris,Pieris bryoniae,bryoniae,"(Hübner, 1806)",Hübner,1806,"Pieris bryoniae (Hübner, 1806)",FALSE,FALSE,"",TRUE,4535307,"Pieris bryoniae (Hubner, 1806)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Pieris,Insecta,98,FALSE,ACCEPTED,Pieridae
Papilio,bryoniae,Papilio bryoniae,Pieris bryoniae,99,Pieridae,Pierinae,Pieris,Pieris bryoniae,bryoniae,"(Hübner, 1806)",Hübner,1806,"Pieris bryoniae (Hübner, 1806)",FALSE,TRUE,"",TRUE,7459998,"Papilio bryoniae Hubner, 1806",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Pieris,Insecta,98,TRUE,SYNONYM,Pieridae
Pieris,napi,Pieris napi,Pieris napi,100,Pieridae,Pierinae,Pieris,Pieris napi,napi,"(Linnaeus, 1758)",Linnaeus,1758,"Pieris napi (Linnaeus, 1758)",FALSE,FALSE,"",TRUE,1920494,"Pieris napi (Linnaeus, 1758)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Pieris,Insecta,98,FALSE,ACCEPTED,Pieridae
Papilio,napi,Papilio napi,Pieris napi,100,Pieridae,Pierinae,Pieris,Pieris napi,napi,"(Linnaeus, 1758)",Linnaeus,1758,"Pieris napi (Linnaeus, 1758)",FALSE,TRUE,"",TRUE,7539529,"Papilio napi Linnaeus, 1758",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Pieris,Insecta,98,TRUE,SYNONYM,Pieridae
Pieris,balcana,Pieris balcana,Pieris balcana,101,Pieridae,Pierinae,Pieris,Pieris balcana,balcana,"Lorkovi?, 1969",Lorkovi?,1969,"Pieris balcana Lorkovi?, 1969",FALSE,FALSE,"",TRUE,1920498,"Pieris balcana Lorkovic, 1970",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Pieris,Insecta,98,FALSE,ACCEPTED,Pieridae
Euchloe,tagis,Euchloe tagis,Euchloe tagis,102,Pieridae,Pierinae,Euchloe,Euchloe tagis,tagis,"(Hübner, 1804)",Hübner,1804,"Euchloe tagis (Hübner, 1804)",FALSE,FALSE,"",TRUE,1919317,"Euchloe tagis (Hubner, 1804)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Iberochloe,tagis,Iberochloe tagis,Euchloe tagis,102,Pieridae,Pierinae,Euchloe,Euchloe tagis,tagis,"(Hübner, 1804)",Hübner,1804,"Euchloe tagis (Hübner, 1804)",FALSE,TRUE,FRBMS,TRUE,7694397,"Iberochloe tagis (HÃ¼bner, 1804)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Papilio,tagis,Papilio tagis,Euchloe tagis,102,Pieridae,Pierinae,Euchloe,Euchloe tagis,tagis,"(Hübner, 1804)",Hübner,1804,"Euchloe tagis (Hübner, 1804)",FALSE,TRUE,"",TRUE,4535284,"Papilio tagis Hubner, 1804",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Euchloe,eversi,Euchloe eversi,Euchloe eversi,103,Pieridae,Pierinae,Euchloe,Euchloe eversi,eversi,"Stamm, 1963",Stamm,1963,"Euchloe eversi Stamm, 1963",FALSE,FALSE,"",TRUE,4535280,"Euchloe eversi Stamm, 1963",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Euchloe,eversi,Euchloe belemia eversi,Euchloe eversi,103,Pieridae,Pierinae,Euchloe,Euchloe eversi,eversi,"Stamm, 1963",Stamm,1963,"Euchloe eversi Stamm, 1963",FALSE,TRUE,"",FALSE,,,,,,,,,,,,,
